utctimestamp,energyuse
1401595226000,2018996.25
1401595256000,2018996.25
1401595286000,2018996.25
1401595316000,2018996.25
1401595346000,2018996.25
1401595376000,2018996.25
1401595406000,2018996.25
1401595436000,2018996.25
1401595466000,2018996.25
1401595496000,2018996.25
1401595526000,2018996.25
1401595556000,2018996.25
1401595586000,2018996.25
1401595616000,2018996.25
1401595646000,2018996.25
1401595676000,2018996.25
1401595706000,2018996.25
1401595736000,2018996.25
1401595766000,2018996.25
1401595796000,2018996.25
1401595826000,2018996.25
1401595856000,2018996.25
1401595886000,2018996.25
1401595916000,2018996.25
1401595946000,2018996.25
1401595976000,2018996.25
1401596006000,2018996.25
1401596036000,2018996.25
1401596066000,2018996.25
1401596096000,2018996.25
1401596126000,2018996.25
1401596156000,2018996.25
1401596186000,2018996.25
1401596216000,2018996.25
1401596246000,2018996.25
1401596276000,2018996.25
1401596306000,2018996.25
1401596336000,2018996.25
1401596366000,2018996.25
1401596396000,2018996.25
1401596426000,2018996.25
1401596456000,2018996.25
1401596486000,2018996.25
1401596516000,2018996.25
1401596546000,2018996.25
1401596576000,2018996.25
1401596606000,2018996.25
1401596636000,2018996.25
1401596666000,2018996.25
1401596696000,2018996.25
1401596726000,2018996.25
1401596756000,2018996.25
1401596786000,2018996.25
1401596816000,2018996.25
1401596846000,2018996.25
1401596876000,2018996.25
1401596906000,2018996.25
1401596936000,2018996.25
1401596966000,2018996.25
1401596996000,2018996.25
1401597026000,2018996.25
1401597056000,2018996.25
1401597086000,2018996.25
1401597116000,2018996.25
1401597146000,2018996.25
1401597176000,2018996.25
1401597206000,2018996.25
1401597236000,2018996.25
1401597266000,2018996.25
1401597296000,2018996.25
1401597326000,2018996.25
1401597356000,2018996.25
1401597386000,2018996.25
1401597416000,2018996.25
1401597446000,2018996.25
1401597476000,2018996.25
1401597506000,2018996.25
1401597536000,2018996.25
1401597566000,2018996.25
1401597596000,2018996.25
1401597626000,2018996.25
1401597656000,2018996.25
1401597686000,2018996.25
1401597716000,2018996.25
1401597746000,2018996.25
1401597776000,2018996.25
1401597806000,2018996.25
1401597836000,2018996.25
1401597866000,2018996.25
1401597896000,2018996.25
1401597926000,2018996.25
1401597956000,2018996.25
1401597986000,2018996.25
1401598016000,2018996.25
1401598046000,2018996.25
1401598076000,2018996.25
1401598106000,2018996.25
